,frame, pose_Rx, pose_Ry
0,1,0.044,0.085
1,2,0.039,0.083
2,3,0.042,0.084
3,4,0.045,0.085
4,5,0.047,0.071
5,6,0.044,0.069
6,7,0.039,0.059
7,8,0.045,0.052
8,9,0.051,0.045
9,10,0.054,0.044
10,11,0.053,0.044
11,12,0.053,0.043
12,13,0.053,0.047
13,14,0.051,0.05
14,15,0.058,0.055
15,16,0.06,0.062
16,17,0.066,0.07
17,18,0.061,0.072
18,19,0.063,0.072
19,20,0.068,0.078
20,21,0.068,0.08
21,22,0.068,0.075
22,23,0.07,0.077
23,24,0.063,0.075
24,25,0.056,0.072
25,26,0.048,0.075
26,27,0.045,0.077
27,28,0.047,0.08
28,29,0.053,0.081
29,30,0.043,0.085
30,31,0.044,0.085
31,32,0.043,0.085
32,33,0.036,0.081
33,34,0.038,0.083
34,35,0.041,0.084
35,36,0.041,0.084
36,37,0.039,0.088
37,38,0.047,0.091
38,39,0.042,0.09
39,40,0.037,0.088
40,41,0.036,0.085
41,42,0.038,0.086
42,43,0.037,0.083
43,44,0.036,0.085
44,45,0.037,0.086
45,46,0.04,0.084
46,47,0.04,0.087
47,48,0.042,0.082
48,49,0.037,0.081
49,50,0.039,0.079
50,51,0.039,0.08
51,52,0.041,0.081
52,53,0.043,0.082
53,54,0.033,0.085
54,55,0.028,0.088
55,56,0.027,0.086
56,57,0.03,0.086
57,58,0.039,0.088
58,59,0.039,0.087
59,60,0.039,0.085
60,61,0.035,0.087
61,62,0.03,0.083
62,63,0.036,0.085
63,64,0.036,0.086
64,65,0.037,0.086
65,66,0.036,0.085
66,67,0.034,0.085
67,68,0.033,0.081
68,69,0.034,0.083
69,70,0.039,0.087
70,71,0.039,0.085
71,72,0.036,0.082
72,73,0.04,0.083
73,74,0.039,0.087
74,75,0.037,0.087
75,76,0.039,0.086
76,77,0.037,0.086
77,78,0.038,0.089
78,79,0.033,0.088
79,80,0.038,0.088
80,81,0.034,0.087
81,82,0.033,0.086
82,83,0.036,0.089
83,84,0.028,0.087
84,85,0.033,0.086
85,86,0.033,0.088
86,87,0.04,0.091
87,88,0.043,0.09
88,89,0.034,0.092
89,90,0.033,0.093
90,91,0.034,0.091
91,92,0.034,0.094
92,93,0.034,0.088
93,94,0.035,0.089
94,95,0.036,0.088
95,96,0.035,0.085
96,97,0.037,0.085
97,98,0.037,0.084
98,99,0.038,0.085
99,100,0.038,0.086
100,101,0.039,0.084
101,102,0.039,0.084
102,103,0.037,0.079
103,104,0.038,0.081
104,105,0.035,0.081
105,106,0.036,0.085
106,107,0.033,0.084
107,108,0.038,0.082
108,109,0.031,0.082
109,110,0.038,0.083
110,111,0.037,0.084
111,112,0.035,0.085
112,113,0.037,0.087
113,114,0.038,0.083
114,115,0.03,0.082
115,116,0.031,0.086
116,117,0.027,0.085
117,118,0.031,0.083
118,119,0.037,0.084
119,120,0.034,0.086
120,121,0.036,0.085
121,122,0.035,0.084
122,123,0.036,0.085
123,124,0.032,0.087
124,125,0.037,0.086
125,126,0.028,0.083
126,127,0.031,0.088
127,128,0.032,0.09
128,129,0.03,0.088
129,130,0.03,0.087
130,131,0.033,0.088
131,132,0.031,0.088
132,133,0.034,0.087
133,134,0.034,0.088
134,135,0.032,0.089
135,136,0.034,0.089
136,137,0.03,0.089
137,138,0.03,0.087
138,139,0.032,0.09
139,140,0.03,0.087
140,141,0.036,0.091
141,142,0.038,0.089
142,143,0.033,0.089
143,144,0.034,0.087
144,145,0.034,0.086
145,146,0.035,0.087
146,147,0.034,0.088
147,148,0.037,0.086
148,149,0.035,0.085
149,150,0.04,0.085
150,151,0.035,0.089
151,152,0.034,0.088
152,153,0.034,0.087
153,154,0.039,0.086
154,155,0.041,0.087
155,156,0.039,0.086
156,157,0.033,0.09
157,158,0.035,0.089
158,159,0.041,0.089
159,160,0.04,0.09
160,161,0.043,0.087
161,162,0.045,0.093
162,163,0.041,0.09
163,164,0.038,0.09
164,165,0.039,0.09
165,166,0.038,0.089
166,167,0.039,0.09
167,168,0.037,0.09
168,169,0.039,0.092
169,170,0.04,0.092
170,171,0.044,0.09
171,172,0.045,0.091
172,173,0.045,0.09
173,174,0.049,0.089
174,175,0.048,0.089
175,176,0.043,0.084
176,177,0.049,0.088
177,178,0.046,0.088
178,179,0.045,0.089
179,180,0.044,0.089
180,181,0.04,0.091
181,182,0.043,0.091
182,183,0.044,0.087
183,184,0.047,0.09
184,185,0.045,0.09
185,186,0.045,0.089
186,187,0.047,0.088
187,188,0.044,0.092
188,189,0.043,0.093
189,190,0.045,0.093
190,191,0.046,0.09
191,192,0.043,0.088
192,193,0.047,0.081
193,194,0.049,0.084
194,195,0.046,0.084
195,196,0.049,0.082
196,197,0.042,0.084
197,198,0.041,0.084
198,199,0.044,0.086
199,200,0.045,0.085
200,201,0.045,0.083
201,202,0.046,0.081
202,203,0.043,0.082
203,204,0.042,0.084
204,205,0.041,0.086
205,206,0.043,0.086
206,207,0.043,0.084
207,208,0.044,0.087
208,209,0.031,0.086
209,210,0.017,0.08
210,211,0.022,0.084
211,212,0.029,0.082
212,213,0.031,0.08
213,214,0.028,0.075
214,215,0.028,0.076
215,216,0.024,0.065
216,217,0.026,0.063
217,218,0.02,0.061
218,219,0.025,0.058
219,220,0.025,0.055
220,221,0.024,0.052
221,222,0.027,0.053
222,223,0.022,0.055
223,224,0.023,0.06
224,225,0.015,0.061
225,226,0.013,0.066
226,227,0.014,0.07
227,228,0.012,0.074
228,229,-0.003,0.077
229,230,-0.011,0.078
230,231,-0.013,0.086
231,232,-0.018,0.085
232,233,-0.03,0.091
233,234,-0.035,0.091
234,235,-0.046,0.093
235,236,-0.067,0.093
236,237,-0.074,0.098
237,238,-0.086,0.098
238,239,-0.083,0.103
239,240,-0.082,0.105
240,241,-0.087,0.107
241,242,-0.083,0.108
242,243,-0.086,0.1
243,244,-0.096,0.099
244,245,-0.111,0.101
245,246,-0.106,0.101
246,247,-0.115,0.104
247,248,-0.12,0.101
248,249,-0.123,0.102
249,250,-0.119,0.099
250,251,-0.118,0.092
251,252,-0.111,0.089
252,253,-0.109,0.084
253,254,-0.115,0.088
254,255,-0.116,0.084
255,256,-0.138,0.09
256,257,-0.146,0.093
257,258,-0.138,0.083
258,259,-0.142,0.086
259,260,-0.146,0.075
260,261,-0.153,0.068
261,262,-0.17,0.057
262,263,-0.163,0.055
263,264,-0.161,0.051
264,265,-0.155,0.045
265,266,-0.16,0.044
266,267,-0.158,0.044
267,268,-0.153,0.041
268,269,-0.152,0.04
269,270,-0.15,0.04
270,271,-0.135,0.035
271,272,-0.125,0.032
272,273,-0.118,0.031
273,274,-0.106,0.022
274,275,-0.106,0.018
275,276,-0.097,0.013
276,277,-0.093,0.007
277,278,-0.096,-0.011
278,279,-0.108,-0.035
279,280,-0.099,-0.058
